#,firmware,0.0.1,
#,devices,NXSCK,
#,product types,SOCK,
#,data,1.0.0
#,username,Basdeo05
#,platform,iOS

#,firmware,0.0.1,
#,devices,NXSCK,
#,product types,SOCK,
#,data,1.0.0
#,username,Basdeo05
#,platform,iOS

time,measurement,value,field,type,device
2021-09-14 10:24:32:8170,IMU,-52,ax,acceleration,NXSCK
2021-09-14 10:24:32:8170,IMU,10,ay,acceleration,NXSCK
2021-09-14 10:24:32:8170,IMU,-956,az,acceleration,NXSCK
2021-09-14 10:24:32:8740,IMU,-51,ax,acceleration,NXSCK
2021-09-14 10:24:32:8740,IMU,9,ay,acceleration,NXSCK
2021-09-14 10:24:32:8740,IMU,-954,az,acceleration,NXSCK
2021-09-14 10:24:32:9340,IMU,-54,ax,acceleration,NXSCK
2021-09-14 10:24:32:9340,IMU,11,ay,acceleration,NXSCK
2021-09-14 10:24:32:9340,IMU,-956,az,acceleration,NXSCK
2021-09-14 10:24:32:9970,IMU,6,gx,gyration,NXSCK
2021-09-14 10:24:32:9970,IMU,-16,gy,gyration,NXSCK
2021-09-14 10:24:32:9970,IMU,-2,gz,gyration,NXSCK
2021-09-14 10:24:33:0550,IMU,-55,ax,acceleration,NXSCK
2021-09-14 10:24:33:0550,IMU,11,ay,acceleration,NXSCK
2021-09-14 10:24:33:0550,IMU,-957,az,acceleration,NXSCK
2021-09-14 10:24:33:1150,IMU,6,gx,gyration,NXSCK
2021-09-14 10:24:33:1150,IMU,-16,gy,gyration,NXSCK
2021-09-14 10:24:33:1150,IMU,-2,gz,gyration,NXSCK
2021-09-14 10:24:33:1760,IMU,-41,mx,magnet,NXSCK
2021-09-14 10:24:33:1760,IMU,60,my,magnet,NXSCK
2021-09-14 10:24:33:1760,IMU,51,mz,magnet,NXSCK
2021-09-14 10:24:33:2360,sensor,512,a0,adc,NXSCK
2021-09-14 10:24:33:2360,sensor,687,a1,adc,NXSCK
2021-09-14 10:24:33:2360,sensor,461,a2,adc,NXSCK
2021-09-14 10:24:33:2950,IMU,-54,ax,acceleration,NXSCK
2021-09-14 10:24:33:2950,IMU,13,ay,acceleration,NXSCK
2021-09-14 10:24:33:2950,IMU,-956,az,acceleration,NXSCK
2021-09-14 10:24:33:3560,IMU,5,gx,gyration,NXSCK
2021-09-14 10:24:33:3560,IMU,-16,gy,gyration,NXSCK
2021-09-14 10:24:33:3560,IMU,-2,gz,gyration,NXSCK
2021-09-14 10:24:33:4430,IMU,-41,mx,magnet,NXSCK
2021-09-14 10:24:33:4430,IMU,60,my,magnet,NXSCK
2021-09-14 10:24:33:4430,IMU,51,mz,magnet,NXSCK
2021-09-14 10:24:33:5040,sensor,500,a0,adc,NXSCK
2021-09-14 10:24:33:5040,sensor,690,a1,adc,NXSCK
2021-09-14 10:24:33:5040,sensor,460,a2,adc,NXSCK
2021-09-14 10:24:33:5640,IMU,-55,ax,acceleration,NXSCK
2021-09-14 10:24:33:5640,IMU,10,ay,acceleration,NXSCK
2021-09-14 10:24:33:5640,IMU,-958,az,acceleration,NXSCK
2021-09-14 10:24:33:6240,IMU,6,gx,gyration,NXSCK
2021-09-14 10:24:33:6240,IMU,-16,gy,gyration,NXSCK
2021-09-14 10:24:33:6240,IMU,-2,gz,gyration,NXSCK
2021-09-14 10:24:33:6840,IMU,-41,mx,magnet,NXSCK
2021-09-14 10:24:33:6840,IMU,60,my,magnet,NXSCK
2021-09-14 10:24:33:6840,IMU,51,mz,magnet,NXSCK
2021-09-14 10:24:33:7440,sensor,499,a0,adc,NXSCK
2021-09-14 10:24:33:7440,sensor,703,a1,adc,NXSCK
2021-09-14 10:24:33:7440,sensor,468,a2,adc,NXSCK
2021-09-14 10:24:33:8040,IMU,-54,ax,acceleration,NXSCK
2021-09-14 10:24:33:8040,IMU,12,ay,acceleration,NXSCK
2021-09-14 10:24:33:8040,IMU,-954,az,acceleration,NXSCK
2021-09-14 10:24:33:8630,IMU,5,gx,gyration,NXSCK
2021-09-14 10:24:33:8630,IMU,-16,gy,gyration,NXSCK
2021-09-14 10:24:33:8630,IMU,-2,gz,gyration,NXSCK
2021-09-14 10:24:33:9240,IMU,-41,mx,magnet,NXSCK
2021-09-14 10:24:33:9240,IMU,60,my,magnet,NXSCK
2021-09-14 10:24:33:9240,IMU,52,mz,magnet,NXSCK
2021-09-14 10:24:33:9840,sensor,488,a0,adc,NXSCK
2021-09-14 10:24:33:9840,sensor,707,a1,adc,NXSCK
2021-09-14 10:24:33:9840,sensor,460,a2,adc,NXSCK
2021-09-14 10:24:34:0440,IMU,-53,ax,acceleration,NXSCK
2021-09-14 10:24:34:0440,IMU,13,ay,acceleration,NXSCK
2021-09-14 10:24:34:0440,IMU,-954,az,acceleration,NXSCK
2021-09-14 10:24:34:1030,IMU,5,gx,gyration,NXSCK
2021-09-14 10:24:34:1030,IMU,-16,gy,gyration,NXSCK
2021-09-14 10:24:34:1030,IMU,-2,gz,gyration,NXSCK
2021-09-14 10:24:34:1630,IMU,-41,mx,magnet,NXSCK
2021-09-14 10:24:34:1630,IMU,60,my,magnet,NXSCK
2021-09-14 10:24:34:1630,IMU,52,mz,magnet,NXSCK
2021-09-14 10:24:34:2240,sensor,494,a0,adc,NXSCK
2021-09-14 10:24:34:2240,sensor,695,a1,adc,NXSCK
2021-09-14 10:24:34:2240,sensor,470,a2,adc,NXSCK
2021-09-14 10:24:34:2840,IMU,-54,ax,acceleration,NXSCK
2021-09-14 10:24:34:2840,IMU,11,ay,acceleration,NXSCK
2021-09-14 10:24:34:2840,IMU,-956,az,acceleration,NXSCK
2021-09-14 10:24:34:3440,IMU,6,gx,gyration,NXSCK
2021-09-14 10:24:34:3440,IMU,-16,gy,gyration,NXSCK
2021-09-14 10:24:34:3440,IMU,-2,gz,gyration,NXSCK
2021-09-14 10:24:34:4040,IMU,-41,mx,magnet,NXSCK
2021-09-14 10:24:34:4040,IMU,60,my,magnet,NXSCK
2021-09-14 10:24:34:4040,IMU,51,mz,magnet,NXSCK
2021-09-14 10:24:34:5660,sensor,493,a0,adc,NXSCK
2021-09-14 10:24:34:5660,sensor,697,a1,adc,NXSCK
2021-09-14 10:24:34:5660,sensor,463,a2,adc,NXSCK
2021-09-14 10:24:34:5830,IMU,-54,ax,acceleration,NXSCK
2021-09-14 10:24:34:5830,IMU,10,ay,acceleration,NXSCK
2021-09-14 10:24:34:5830,IMU,-956,az,acceleration,NXSCK
2021-09-14 10:24:34:5930,IMU,6,gx,gyration,NXSCK
2021-09-14 10:24:34:5930,IMU,-16,gy,gyration,NXSCK
2021-09-14 10:24:34:5930,IMU,-2,gz,gyration,NXSCK
2021-09-14 10:24:34:6860,IMU,-41,mx,magnet,NXSCK
2021-09-14 10:24:34:6860,IMU,60,my,magnet,NXSCK
2021-09-14 10:24:34:6860,IMU,52,mz,magnet,NXSCK
2021-09-14 10:24:34:7060,sensor,512,a0,adc,NXSCK
2021-09-14 10:24:34:7060,sensor,697,a1,adc,NXSCK
2021-09-14 10:24:34:7060,sensor,461,a2,adc,NXSCK
2021-09-14 10:24:34:7660,IMU,-55,ax,acceleration,NXSCK
2021-09-14 10:24:34:7660,IMU,11,ay,acceleration,NXSCK
2021-09-14 10:24:34:7660,IMU,-957,az,acceleration,NXSCK
2021-09-14 10:24:34:8240,IMU,6,gx,gyration,NXSCK
2021-09-14 10:24:34:8240,IMU,-16,gy,gyration,NXSCK
2021-09-14 10:24:34:8240,IMU,-2,gz,gyration,NXSCK
2021-09-14 10:24:34:8840,IMU,-41,mx,magnet,NXSCK
2021-09-14 10:24:34:8840,IMU,60,my,magnet,NXSCK
2021-09-14 10:24:34:8840,IMU,51,mz,magnet,NXSCK
2021-09-14 10:24:34:9740,sensor,510,a0,adc,NXSCK
2021-09-14 10:24:34:9740,sensor,695,a1,adc,NXSCK
2021-09-14 10:24:34:9740,sensor,463,a2,adc,NXSCK
2021-09-14 10:24:35:0640,IMU,6,gx,gyration,NXSCK
2021-09-14 10:24:35:0640,IMU,-16,gy,gyration,NXSCK
2021-09-14 10:24:35:0640,IMU,-2,gz,gyration,NXSCK
2021-09-14 10:24:35:1240,IMU,-41,mx,magnet,NXSCK
2021-09-14 10:24:35:1240,IMU,60,my,magnet,NXSCK
2021-09-14 10:24:35:1240,IMU,52,mz,magnet,NXSCK
2021-09-14 10:24:35:1830,sensor,504,a0,adc,NXSCK
2021-09-14 10:24:35:1830,sensor,702,a1,adc,NXSCK
2021-09-14 10:24:35:1830,sensor,466,a2,adc,NXSCK
2021-09-14 10:24:35:2440,IMU,-55,ax,acceleration,NXSCK
2021-09-14 10:24:35:2440,IMU,11,ay,acceleration,NXSCK
2021-09-14 10:24:35:2440,IMU,-954,az,acceleration,NXSCK
2021-09-14 10:24:35:3040,IMU,6,gx,gyration,NXSCK
2021-09-14 10:24:35:3040,IMU,-16,gy,gyration,NXSCK
2021-09-14 10:24:35:3040,IMU,-2,gz,gyration,NXSCK
2021-09-14 10:24:35:3630,IMU,-41,mx,magnet,NXSCK
2021-09-14 10:24:35:3630,IMU,60,my,magnet,NXSCK
2021-09-14 10:24:35:3630,IMU,51,mz,magnet,NXSCK
2021-09-14 10:24:35:4260,sensor,508,a0,adc,NXSCK
2021-09-14 10:24:35:4260,sensor,695,a1,adc,NXSCK
2021-09-14 10:24:35:4260,sensor,459,a2,adc,NXSCK
2021-09-14 10:24:35:4840,IMU,-54,ax,acceleration,NXSCK
