#,firmware,0.0.1,
#,devices,NXSID007,
#,product types,SLEEVE,
#,data,1.0.0
#,username,Basdeo05
#,platform,iOS

time,measurement,value,field,type,device
2021-09-14 11:51:20:2000,IMU,-100,ax,acceleration,NXSID007
2021-09-14 11:51:20:2000,IMU,7,ay,acceleration,NXSID007
2021-09-14 11:51:20:2000,IMU,984,az,acceleration,NXSID007
2021-09-14 11:51:20:2560,IMU,-100,ax,acceleration,NXSID007
2021-09-14 11:51:20:2560,IMU,7,ay,acceleration,NXSID007
2021-09-14 11:51:20:2560,IMU,984,az,acceleration,NXSID007
2021-09-14 11:51:20:3160,IMU,-97,ax,acceleration,NXSID007
2021-09-14 11:51:20:3160,IMU,9,ay,acceleration,NXSID007
2021-09-14 11:51:20:3160,IMU,983,az,acceleration,NXSID007
2021-09-14 11:51:20:3750,IMU,4,gx,gyration,NXSID007
2021-09-14 11:51:20:3750,IMU,-7,gy,gyration,NXSID007
2021-09-14 11:51:20:3750,IMU,-12,gz,gyration,NXSID007
2021-09-14 11:51:20:4350,IMU,-99,ax,acceleration,NXSID007
2021-09-14 11:51:20:4350,IMU,8,ay,acceleration,NXSID007
2021-09-14 11:51:20:4350,IMU,982,az,acceleration,NXSID007
2021-09-14 11:51:20:4950,IMU,4,gx,gyration,NXSID007
2021-09-14 11:51:20:4950,IMU,-7,gy,gyration,NXSID007
2021-09-14 11:51:20:4950,IMU,-12,gz,gyration,NXSID007
2021-09-14 11:51:20:5550,IMU,497,mx,magnet,NXSID007
2021-09-14 11:51:20:5550,IMU,-392,my,magnet,NXSID007
2021-09-14 11:51:20:5550,IMU,-4808,mz,magnet,NXSID007
2021-09-14 11:51:20:6160,sensor,631,a0,adc,NXSID007
2021-09-14 11:51:20:6160,sensor,695,a1,adc,NXSID007
2021-09-14 11:51:20:6160,sensor,551,a2,adc,NXSID007
2021-09-14 11:51:20:6740,IMU,-99,ax,acceleration,NXSID007
2021-09-14 11:51:20:6740,IMU,9,ay,acceleration,NXSID007
2021-09-14 11:51:20:6740,IMU,984,az,acceleration,NXSID007
2021-09-14 11:51:20:7350,IMU,-99,ax,acceleration,NXSID007
2021-09-14 11:51:20:7350,IMU,8,ay,acceleration,NXSID007
2021-09-14 11:51:20:7350,IMU,983,az,acceleration,NXSID007
2021-09-14 11:51:20:7970,IMU,4,gx,gyration,NXSID007
2021-09-14 11:51:20:7970,IMU,-7,gy,gyration,NXSID007
2021-09-14 11:51:20:7970,IMU,-12,gz,gyration,NXSID007
2021-09-14 11:51:20:8550,IMU,568,mx,magnet,NXSID007
2021-09-14 11:51:20:8550,IMU,-367,my,magnet,NXSID007
2021-09-14 11:51:20:8550,IMU,-4891,mz,magnet,NXSID007
2021-09-14 11:51:20:9160,sensor,620,a0,adc,NXSID007
2021-09-14 11:51:20:9160,sensor,677,a1,adc,NXSID007
2021-09-14 11:51:20:9160,sensor,544,a2,adc,NXSID007
2021-09-14 11:51:21:0340,environment,29.96,temp,device,NXSID007
2021-09-14 11:51:21:0340,environment,37.87,hum,device,NXSID007
2021-09-14 11:51:21:0340,environment,-50.26,alt,device,NXSID007
