#,firmware,0.0.1,0.0.1,
#,devices,NXSAMPLEX,NXSID007,
#,product types,SLEEVE,SLEEVE,
#,data,1.0.0
#,username,Basdeo05
#,platform,iOS

time,measurement,value,field,type,device
2021-09-14 12:03:27:1510,IMU,-113,ax,acceleration,NXSAMPLEX
2021-09-14 12:03:27:1510,IMU,-185,ay,acceleration,NXSAMPLEX
2021-09-14 12:03:27:1510,IMU,952,az,acceleration,NXSAMPLEX
2021-09-14 12:03:27:2120,IMU,-113,ax,acceleration,NXSAMPLEX
2021-09-14 12:03:27:2120,IMU,-185,ay,acceleration,NXSAMPLEX
2021-09-14 12:03:27:2120,IMU,952,az,acceleration,NXSAMPLEX
2021-09-14 12:03:27:2710,IMU,-111,ax,acceleration,NXSAMPLEX
2021-09-14 12:03:27:2710,IMU,-187,ay,acceleration,NXSAMPLEX
2021-09-14 12:03:27:2710,IMU,953,az,acceleration,NXSAMPLEX
2021-09-14 12:03:27:3320,IMU,8,gx,gyration,NXSAMPLEX
2021-09-14 12:03:27:3320,IMU,-14,gy,gyration,NXSAMPLEX
2021-09-14 12:03:27:3320,IMU,-12,gz,gyration,NXSAMPLEX
2021-09-14 12:03:27:3910,IMU,-100,ax,acceleration,NXSAMPLEX
2021-09-14 12:03:27:3910,IMU,-181,ay,acceleration,NXSAMPLEX
2021-09-14 12:03:27:3910,IMU,950,az,acceleration,NXSAMPLEX
2021-09-14 12:03:27:4510,IMU,11,gx,gyration,NXSAMPLEX
2021-09-14 12:03:27:4510,IMU,-15,gy,gyration,NXSAMPLEX
2021-09-14 12:03:27:4510,IMU,-12,gz,gyration,NXSAMPLEX
2021-09-14 12:03:27:5110,IMU,-889,mx,magnet,NXSAMPLEX
2021-09-14 12:03:27:5110,IMU,-2859,my,magnet,NXSAMPLEX
2021-09-14 12:03:27:5110,IMU,-6603,mz,magnet,NXSAMPLEX
2021-09-14 12:03:27:5710,IMU,-99,ax,acceleration,NXSAMPLEX
2021-09-14 12:03:27:5710,IMU,-220,ay,acceleration,NXSAMPLEX
2021-09-14 12:03:27:5710,IMU,951,az,acceleration,NXSAMPLEX
2021-09-14 12:03:27:6310,IMU,1,gx,gyration,NXSAMPLEX
2021-09-14 12:03:27:6310,IMU,-15,gy,gyration,NXSAMPLEX
2021-09-14 12:03:27:6310,IMU,-19,gz,gyration,NXSAMPLEX
2021-09-14 12:03:27:6830,IMU,-45,ax,acceleration,NXSID007
2021-09-14 12:03:27:6830,IMU,223,ay,acceleration,NXSID007
2021-09-14 12:03:27:6830,IMU,978,az,acceleration,NXSID007
2021-09-14 12:03:27:6910,IMU,-889,mx,magnet,NXSAMPLEX
2021-09-14 12:03:27:6910,IMU,-2838,my,magnet,NXSAMPLEX
2021-09-14 12:03:27:6910,IMU,-6656,mz,magnet,NXSAMPLEX
2021-09-14 12:03:27:7430,IMU,7,gx,gyration,NXSID007
2021-09-14 12:03:27:7430,IMU,-8,gy,gyration,NXSID007
2021-09-14 12:03:27:7430,IMU,-11,gz,gyration,NXSID007
2021-09-14 12:03:27:7510,sensor,1039,a0,adc,NXSAMPLEX
2021-09-14 12:03:27:7510,sensor,5,a1,adc,NXSAMPLEX
2021-09-14 12:03:27:7510,sensor,68,a2,adc,NXSAMPLEX
2021-09-14 12:03:27:8020,IMU,242,mx,magnet,NXSID007
2021-09-14 12:03:27:8020,IMU,-232,my,magnet,NXSID007
2021-09-14 12:03:27:8020,IMU,-5173,mz,magnet,NXSID007
2021-09-14 12:03:27:8110,IMU,-81,ax,acceleration,NXSAMPLEX
2021-09-14 12:03:27:8110,IMU,-218,ay,acceleration,NXSAMPLEX
2021-09-14 12:03:27:8110,IMU,950,az,acceleration,NXSAMPLEX
2021-09-14 12:03:27:8640,sensor,1525,a0,adc,NXSID007
2021-09-14 12:03:27:8640,sensor,1122,a1,adc,NXSID007
2021-09-14 12:03:27:8640,sensor,951,a2,adc,NXSID007
2021-09-14 12:03:27:8890,IMU,11,gx,gyration,NXSAMPLEX
2021-09-14 12:03:27:8890,IMU,-14,gy,gyration,NXSAMPLEX
2021-09-14 12:03:27:8890,IMU,-11,gz,gyration,NXSAMPLEX
2021-09-14 12:03:27:9300,IMU,-945,mx,magnet,NXSAMPLEX
2021-09-14 12:03:27:9300,IMU,-2834,my,magnet,NXSAMPLEX
2021-09-14 12:03:27:9300,IMU,-6593,mz,magnet,NXSAMPLEX
2021-09-14 12:03:27:9840,environment,28.81,temp,device,NXSID007
2021-09-14 12:03:27:9840,environment,40.33,hum,device,NXSID007
2021-09-14 12:03:27:9840,environment,-48.92,alt,device,NXSID007
2021-09-14 12:03:27:9900,sensor,942,a0,adc,NXSAMPLEX
2021-09-14 12:03:27:9900,sensor,6,a1,adc,NXSAMPLEX
2021-09-14 12:03:27:9900,sensor,78,a2,adc,NXSAMPLEX
