#,firmware,0.0.1,
#,devices,NXSCK,
#,product types,SOCK,
#,data,1.0.0
#,username,Basdeo05
#,platform,iOS

time,measurement,value,field,type,device
2021-09-14 13:22:03:0640,IMU,-960,ax,acceleration,NXSCK
2021-09-14 13:22:03:0640,IMU,120,ay,acceleration,NXSCK
2021-09-14 13:22:03:0640,IMU,0,az,acceleration,NXSCK
2021-09-14 13:22:03:1240,IMU,-960,ax,acceleration,NXSCK
2021-09-14 13:22:03:1240,IMU,120,ay,acceleration,NXSCK
2021-09-14 13:22:03:1240,IMU,0,az,acceleration,NXSCK
2021-09-14 13:22:03:1840,IMU,-995,ax,acceleration,NXSCK
2021-09-14 13:22:03:1840,IMU,133,ay,acceleration,NXSCK
2021-09-14 13:22:03:1840,IMU,66,az,acceleration,NXSCK
2021-09-14 13:22:03:2440,IMU,8,gx,gyration,NXSCK
2021-09-14 13:22:03:2440,IMU,-19,gy,gyration,NXSCK
2021-09-14 13:22:03:2440,IMU,1,gz,gyration,NXSCK
2021-09-14 13:22:03:3040,IMU,-978,ax,acceleration,NXSCK
2021-09-14 13:22:03:3040,IMU,142,ay,acceleration,NXSCK
2021-09-14 13:22:03:3040,IMU,33,az,acceleration,NXSCK
2021-09-14 13:22:03:3640,IMU,6,gx,gyration,NXSCK
2021-09-14 13:22:03:3640,IMU,-16,gy,gyration,NXSCK
2021-09-14 13:22:03:3640,IMU,-2,gz,gyration,NXSCK
2021-09-14 13:22:03:4240,IMU,6,mx,magnet,NXSCK
2021-09-14 13:22:03:4240,IMU,92,my,magnet,NXSCK
2021-09-14 13:22:03:4240,IMU,15,mz,magnet,NXSCK
2021-09-14 13:22:03:5160,sensor,100,a0,adc,NXSCK
2021-09-14 13:22:03:5160,sensor,354,a1,adc,NXSCK
2021-09-14 13:22:03:5160,sensor,446,a2,adc,NXSCK
2021-09-14 13:22:03:6040,IMU,11,gx,gyration,NXSCK
2021-09-14 13:22:03:6040,IMU,-19,gy,gyration,NXSCK
2021-09-14 13:22:03:6040,IMU,-2,gz,gyration,NXSCK
2021-09-14 13:22:03:6640,IMU,6,mx,magnet,NXSCK
2021-09-14 13:22:03:6640,IMU,91,my,magnet,NXSCK
2021-09-14 13:22:03:6640,IMU,14,mz,magnet,NXSCK
2021-09-14 13:22:03:7240,sensor,98,a0,adc,NXSCK
2021-09-14 13:22:03:7240,sensor,364,a1,adc,NXSCK
2021-09-14 13:22:03:7240,sensor,470,a2,adc,NXSCK
2021-09-14 13:22:03:7860,IMU,-972,ax,acceleration,NXSCK
2021-09-14 13:22:03:7860,IMU,135,ay,acceleration,NXSCK
2021-09-14 13:22:03:7860,IMU,29,az,acceleration,NXSCK
2021-09-14 13:22:03:8740,IMU,7,gx,gyration,NXSCK
2021-09-14 13:22:03:8740,IMU,-18,gy,gyration,NXSCK
2021-09-14 13:22:03:8740,IMU,-1,gz,gyration,NXSCK
2021-09-14 13:22:03:9330,IMU,5,mx,magnet,NXSCK
2021-09-14 13:22:03:9330,IMU,91,my,magnet,NXSCK
2021-09-14 13:22:03:9330,IMU,14,mz,magnet,NXSCK
2021-09-14 13:22:03:9940,sensor,106,a0,adc,NXSCK
2021-09-14 13:22:03:9940,sensor,361,a1,adc,NXSCK
2021-09-14 13:22:03:9940,sensor,456,a2,adc,NXSCK
2021-09-14 13:22:04:0530,IMU,-1013,ax,acceleration,NXSCK
