#,firmware,0.0.1,0.0.1,
#,devices,NXSID007,NXSAMPLEX,
#,product types,SLEEVE,SLEEVE,
#,data,1.0.0
#,username,Basdeo05
#,platform,iOS

time,measurement,value,field,type,device
2021-09-14 14:49:08:9870,IMU,-138,ax,acceleration,NXSAMPLEX
2021-09-14 14:49:08:9870,IMU,-284,ay,acceleration,NXSAMPLEX
2021-09-14 14:49:08:9870,IMU,929,az,acceleration,NXSAMPLEX
2021-09-14 14:49:09:0090,IMU,-123,ax,acceleration,NXSID007
2021-09-14 14:49:09:0090,IMU,2,ay,acceleration,NXSID007
2021-09-14 14:49:09:0090,IMU,985,az,acceleration,NXSID007
2021-09-14 14:49:09:0670,IMU,-123,ax,acceleration,NXSID007
2021-09-14 14:49:09:0670,IMU,2,ay,acceleration,NXSID007
2021-09-14 14:49:09:0670,IMU,985,az,acceleration,NXSID007
2021-09-14 14:49:09:0750,IMU,-138,ax,acceleration,NXSAMPLEX
2021-09-14 14:49:09:0750,IMU,-284,ay,acceleration,NXSAMPLEX
2021-09-14 14:49:09:0750,IMU,929,az,acceleration,NXSAMPLEX
2021-09-14 14:49:09:1290,IMU,-119,ax,acceleration,NXSID007
2021-09-14 14:49:09:1290,IMU,0,ay,acceleration,NXSID007
2021-09-14 14:49:09:1290,IMU,984,az,acceleration,NXSID007
2021-09-14 14:49:09:1370,IMU,-142,ax,acceleration,NXSAMPLEX
2021-09-14 14:49:09:1370,IMU,-285,ay,acceleration,NXSAMPLEX
2021-09-14 14:49:09:1370,IMU,925,az,acceleration,NXSAMPLEX
2021-09-14 14:49:09:1890,IMU,4,gx,gyration,NXSID007
2021-09-14 14:49:09:1890,IMU,-7,gy,gyration,NXSID007
2021-09-14 14:49:09:1890,IMU,-12,gz,gyration,NXSID007
2021-09-14 14:49:09:2260,IMU,9,gx,gyration,NXSAMPLEX
2021-09-14 14:49:09:2260,IMU,-13,gy,gyration,NXSAMPLEX
2021-09-14 14:49:09:2260,IMU,-11,gz,gyration,NXSAMPLEX
2021-09-14 14:49:09:2530,IMU,-121,ax,acceleration,NXSID007
2021-09-14 14:49:09:2530,IMU,2,ay,acceleration,NXSID007
2021-09-14 14:49:09:2530,IMU,985,az,acceleration,NXSID007
2021-09-14 14:49:09:2860,IMU,-139,ax,acceleration,NXSAMPLEX
2021-09-14 14:49:09:2860,IMU,-283,ay,acceleration,NXSAMPLEX
2021-09-14 14:49:09:2860,IMU,925,az,acceleration,NXSAMPLEX
2021-09-14 14:49:09:3090,IMU,4,gx,gyration,NXSID007
2021-09-14 14:49:09:3090,IMU,-6,gy,gyration,NXSID007
2021-09-14 14:49:09:3090,IMU,-12,gz,gyration,NXSID007
2021-09-14 14:49:09:3460,IMU,9,gx,gyration,NXSAMPLEX
2021-09-14 14:49:09:3460,IMU,-12,gy,gyration,NXSAMPLEX
2021-09-14 14:49:09:3460,IMU,-11,gz,gyration,NXSAMPLEX
2021-09-14 14:49:09:3690,IMU,553,mx,magnet,NXSID007
2021-09-14 14:49:09:3690,IMU,1338,my,magnet,NXSID007
