time,measurement,value,field,type,device
2021-09-14 15:37:03:3290,IMU,-128,ax,acceleration,NXSCK
2021-09-14 15:37:03:3290,IMU,-434,ay,acceleration,NXSCK
2021-09-14 15:37:03:3290,IMU,893,az,acceleration,NXSCK
2021-09-14 15:37:03:5660,IMU,-130,ax,acceleration,NXSCK
2021-09-14 15:37:03:5660,IMU,-434,ay,acceleration,NXSCK
2021-09-14 15:37:03:5660,IMU,894,az,acceleration,NXSCK
2021-09-14 15:37:03:6870,IMU,-129,ax,acceleration,NXSCK
2021-09-14 15:37:03:6870,IMU,-434,ay,acceleration,NXSCK
2021-09-14 15:37:03:6870,IMU,893,az,acceleration,NXSCK
2021-09-14 15:37:03:7770,IMU,-130,ax,acceleration,NXSCK
2021-09-14 15:37:03:7770,IMU,-434,ay,acceleration,NXSCK
2021-09-14 15:37:03:7770,IMU,894,az,acceleration,NXSCK
2021-09-14 15:37:03:9020,IMU,6,gx,gyration,NXSCK
2021-09-14 15:37:03:9020,IMU,-16,gy,gyration,NXSCK
2021-09-14 15:37:03:9020,IMU,-2,gz,gyration,NXSCK
2021-09-14 15:37:04:0160,IMU,-130,ax,acceleration,NXSCK
2021-09-14 15:37:04:0160,IMU,-434,ay,acceleration,NXSCK
2021-09-14 15:37:04:0160,IMU,893,az,acceleration,NXSCK
2021-09-14 15:37:04:1670,IMU,-69,mx,magnet,NXSCK
2021-09-14 15:37:04:1670,IMU,71,my,magnet,NXSCK
2021-09-14 15:37:04:1670,IMU,-16,mz,magnet,NXSCK
2021-09-14 15:37:04:2860,IMU,-130,ax,acceleration,NXSCK
2021-09-14 15:37:04:2860,IMU,-434,ay,acceleration,NXSCK
2021-09-14 15:37:04:2860,IMU,893,az,acceleration,NXSCK
2021-09-14 15:37:04:4350,IMU,6,gx,gyration,NXSCK
2021-09-14 15:37:04:4350,IMU,-16,gy,gyration,NXSCK
2021-09-14 15:37:04:4350,IMU,-2,gz,gyration,NXSCK
2021-09-14 15:37:04:6440,IMU,-130,ax,acceleration,NXSCK
2021-09-14 15:37:04:6440,IMU,-435,ay,acceleration,NXSCK
2021-09-14 15:37:04:6440,IMU,893,az,acceleration,NXSCK
2021-09-14 15:37:04:7340,IMU,-70,mx,magnet,NXSCK
2021-09-14 15:37:04:7340,IMU,71,my,magnet,NXSCK
2021-09-14 15:37:04:7340,IMU,-15,mz,magnet,NXSCK
2021-09-14 15:37:04:7950,sensor,908,a0,adc,NXSCK
